Rank,Page URL,Best Position,Average Position,Total Keywords,Top 3 Rankings,Top 10 Rankings,Page 2 Rankings,Clicks,Impressions,CTR %,Top Query,Top Query Position
29,https://careerplanb.co/mtech-entrance-exams-other-than-gate-2026/,1.0,3.0,16,9,16,0,28,2427,1.15,mtech entrance exam 2026,1.7
30,https://careerplanb.co/bank-jobs-after-12th/,1.0,6.1,549,389,464,47,28,5287,0.53,bank job after 12th,1.1
31,https://careerplanb.co/iim-interview-dress-code-what-to-wear/,1.0,1.6,9,9,9,0,26,262,9.92,iim interview dress code,1.4
32,https://careerplanb.co/electrical-engineering-gate-syllabus-complete-weightage-guide/,1.0,5.1,18,5,18,0,25,1192,2.10,electrical engineering gate syllabus,7.5
33,https://careerplanb.co/can-law-be-pursued-in-distance-mode-full-guide-2025/,1.0,6.6,566,297,466,62,23,7019,0.33,llb distance education,3.8
34,https://careerplanb.co/pes-university-placements-2025-report/,1.0,2.4,20,16,20,0,23,1412,1.63,pes 2025 placements,2.4
35,https://careerplanb.co/bcece-exam-date-updates/,1.0,7.8,211,40,183,13,22,25465,0.09,bcece form date 2026,7.7
36,https://careerplanb.co/iit-dharwad-placements-2025/,5.4,7.1,7,0,7,0,22,574,3.83,iit dharwad mtech cse placements,6.7
37,https://careerplanb.co/mtech-colleges-without-gate-score-in-india/,1.0,3.2,13,9,12,1,20,645,3.10,top mtech colleges in india without gate,1.1
38,https://careerplanb.co/fca-vs-ca-whats-the-difference-and-who-can-become-an-fca/,1.0,3.2,12,9,12,0,20,6800,0.29,fca full form,5.5
39,https://careerplanb.co/aiims-new-delhi-pg-fees-bonds-2025/,1.0,3.4,377,267,357,14,20,3003,0.67,aiims pg fees,4.9
40,https://careerplanb.co/viteee-2026-application-form-eligibility-fees-dates/,2.7,6.3,12,1,11,0,19,7193,0.26,viteee 2026 registration fees,7.1
41,https://careerplanb.co/iit-kharagpur-placement-2025-report/,5.2,10.6,14,0,10,1,18,146,12.33,iit kharagpur placement report 2025,6.5
42,https://careerplanb.co/top-colleges-for-mining-engineering-2026/,1.0,2.3,11,9,11,0,16,232,6.90,mining engineering colleges in india,2.9
43,https://careerplanb.co/south-indias-top-10-engineering-colleges-according-to-nirf-2025/,1.0,2.0,10,9,10,0,16,735,2.18,best engineering colleges in south india,1.5
44,https://careerplanb.co/sms-medical-college-jaipur-pg-fees/,1.0,2.7,8,6,8,0,15,216,6.94,pg stipend in sms jaipur,2.5
45,https://careerplanb.co/bitsat-2025-branch-wise-cutoff-analysis-complete-guide/,1.0,10.2,201,60,155,20,15,6260,0.24,bitsat 2025 cutoffs,5.7
46,https://careerplanb.co/barch-exam-syllabus-guide/,1.0,6.5,179,82,159,6,15,3125,0.48,b arch syllabus jee,3.1
47,https://careerplanb.co/iiit-bhopal-cut-off-2025/,4.6,6.5,5,0,5,0,14,1268,1.10,iiit bhopal cutoff,7.2
48,https://careerplanb.co/top-50-engineering-colleges-india/,2.1,16.2,5,1,3,1,14,1519,0.92,top 50 engineering colleges in india,2.1
49,https://careerplanb.co/iit-palakkad-placements-2025/,5.0,7.4,4,0,4,0,14,325,4.31,iit palakkad mtech placements,7.5
50,https://careerplanb.co/difference-between-teaching-and-learning/,2.7,5.1,5,1,5,0,14,381,3.67,difference between teaching and learning,3.8
51,https://careerplanb.co/amity-vs-chandigarh-university-nirf-2025/,1.0,3.1,195,167,189,4,14,961,1.46,chandigarh university,2.4
52,https://careerplanb.co/how-to-pursue-m-tech-in-cse-from-iiit-delhi-complete-guide-for-2026/,6.9,8.3,10,0,10,0,14,1595,0.88,pgcat iiit delhi 2026 registration,7.5
53,https://careerplanb.co/aiims-delhi-vs-pgimer-chandigarh/,1.0,3.1,573,446,560,12,13,2445,0.53,pgimer,2.3
54,https://careerplanb.co/symbiosis-vs-upes-dehradun-2025/,1.0,1.1,9,9,9,0,13,3057,0.43,upes,1.3
55,https://careerplanb.co/bsc-anaesthesia-ot-salary-india-2025/,1.0,8.4,432,257,354,44,13,6527,0.20,bsc anesthesia salary,2.6
56,https://careerplanb.co/cbse-class-10-blueprints-2026-guide/,1.0,5.7,12,1,12,0,13,478,2.72,blueprint of class 10 cbse 2026,4.8
57,https://careerplanb.co/bits-pilani-vs-bits-goa-nirf-2025/,1.0,6.0,191,100,155,26,12,1974,0.61,bits goa nirf ranking,3.5
58,https://careerplanb.co/bits-pilani-vs-iits-nirf-2025/,1.0,4.2,108,85,100,1,12,1381,0.87,bits pilani ranking in india,1.3
59,https://careerplanb.co/ncert-exemplar-vs-ncert/,1.9,4.3,8,3,8,0,12,805,1.49,ncert exemplar,2.8
60,https://careerplanb.co/pgimer-chandigarh-pg-fees-bonds-2025/,1.2,3.2,9,6,9,0,12,298,4.03,pgi chandigarh pg stipend,5.5
61,https://careerplanb.co/rvce-placements-2025-report/,1.0,8.2,9,6,7,0,12,1231,0.97,rvce placements 2025,2.3
62,https://careerplanb.co/cgpet-2026-exam-guide/,6.4,8.1,8,0,7,0,12,3504,0.34,cg pet exam date 2026,6.4
63,https://careerplanb.co/cmc-vellore-pg-courses-bond-2025/,1.0,2.8,9,7,9,0,12,196,6.12,cmc vellore dm bond,1.2
64,https://careerplanb.co/isi-entrance-exam-2026-guide/,2.1,5.5,8,1,8,0,12,3512,0.34,isi entrance exam,3.0
65,https://careerplanb.co/neet-pg-counselling-refund-guide/,1.0,1.5,8,8,8,0,12,927,1.29,mcc refund status,1.0
66,https://careerplanb.co/thapar-university-application-form-2026/,2.1,5.3,8,2,8,0,12,1051,1.14,thapar university registration 2026 last date,6.1
67,https://careerplanb.co/engineering-jobs-in-government-sector-2026-top-opportunities/,3.6,8.0,11,0,8,1,12,268,4.48,govt psu jobs for experienced engineers,7.7
68,https://careerplanb.co/how-to-become-a-therapist-in-india/,1.0,3.2,8,4,8,0,12,833,1.44,how to be a therapist,4.9
69,https://careerplanb.co/ncert-vs-rd-sharma-class-10-maths-half-yearly-exams-2/,1.0,3.8,10,4,10,0,12,372,3.23,rd sharma book,3.6
70,https://careerplanb.co/iist-vs-iit-aerospace-comparison-guide/,1.2,1.8,7,7,7,0,11,2384,0.46,iist,1.3
71,https://careerplanb.co/aiims-delhi-pg-md-ms-courses-bond-duration-explained-2025/,1.0,3.4,272,207,254,15,11,2016,0.55,aiims pg stipend,1.6
72,https://careerplanb.co/iit-mandi-mtech-admission-guide/,7.9,8.3,5,0,5,0,11,554,1.99,iit mandi gate cutoff 2025,8.4
73,https://careerplanb.co/gate-2026-civil-engineering-syllabus-complete-weightage-guide/,2.7,6.7,10,1,9,1,11,255,4.31,gate civil weightage subject wise,6.2
74,https://careerplanb.co/keam-notification-exam-dates/,1.0,2.8,8,7,7,1,11,7510,0.15,keam 2026 exam date,1.0
75,https://careerplanb.co/llb-vs-mba-career-scope-salary/,1.0,1.6,9,9,9,0,11,198,5.56,mba or llb which is better,1.4
76,https://careerplanb.co/top-mba-colleges-accepting-cuet-pg-scores-in-india-2025/,1.5,5.5,11,5,9,2,11,223,4.93,best cuet colleges for mba,2.0
77,https://careerplanb.co/career-counselling-in-gurgaon/,1.0,28.8,47,8,14,9,10,583,1.72,career plan b,5.9
78,https://careerplanb.co/madras-vs-stanley-medical-college-comparison-guid/,1.0,1.6,6,5,6,0,10,3694,0.27,stanley medical college,1.2
79,https://careerplanb.co/diploma-in-child-health-course-guide/,1.1,2.4,8,7,8,0,10,3354,0.30,dch after bams,1.2
80,https://careerplanb.co/ipgmer-kolkata-pg-departments-fees-bond/,1.0,2.1,6,5,6,0,10,815,1.23,stipend for pg medical students in west bengal,1.0
81,https://careerplanb.co/jipmer-pg-courses-service-bond-guide/,1.0,2.6,7,5,7,0,10,1230,0.81,jipmer,1.3
82,https://careerplanb.co/ap-eamcet-calendar-exam-dates/,1.0,2.2,584,493,565,16,10,47368,0.02,eamcet exam date 2026 ap,1.0
83,https://careerplanb.co/career-guidance-for-students-after-12th/,1.0,34.4,105,19,36,3,9,650,1.38,free career counselling after 12th,2.5
84,https://careerplanb.co/nit-hamirpur-final-closing-rank-branch-wise-guide-for-students/,3.0,6.5,5,1,5,0,9,885,1.02,nit hamirpur cutoff 2025,5.5
85,https://careerplanb.co/reap-2026-admission-process-eligibility-dates-counselling/,1.0,5.5,5,1,4,0,9,418,2.15,reap 2026,5.9
86,https://careerplanb.co/iit-guwahati-2025-cut-offs/,6.1,6.3,3,0,3,0,9,1879,0.48,iit guwahati cutoff,6.1
87,https://careerplanb.co/bsc-mlt-salary-in-india-2025/,1.0,8.4,438,216,311,88,9,4552,0.20,bsc mlt salary,2.9
88,https://careerplanb.co/class-12-economics-paper-pattern-2025/,1.5,5.5,6,3,5,1,9,488,1.84,paper pattern of economics class 12,1.5
89,https://careerplanb.co/gate-chemistry-syllabus-2026/,2.1,4.6,8,1,8,0,9,633,1.42,gate chemistry syllabus,4.2
90,https://careerplanb.co/bhu-varanasi-vs-amu-aligarh-pg-comparison/,1.0,2.8,666,545,653,13,9,2752,0.33,amu,3.3
91,https://careerplanb.co/bond-free-medical-pg-colleges-india-2025/,1.0,4.3,192,151,175,10,9,575,1.57,afmc bond amount,3.0
92,https://careerplanb.co/iiit-delhi-cut-off-2025/,2.5,7.7,9,1,7,1,9,1574,0.57,iiit delhi all branches cutoff,6.8
93,https://careerplanb.co/top-10-engineering-colleges-in-hyderabad-2025-nirf-rankings-btech-courses-placements-admission-guide/,1.1,6.0,9,4,7,1,9,189,4.76,best universities in hyderabad for engineering,6.5
94,https://careerplanb.co/colleges/veer-kunwar-singh-university-ara/,1.2,4.3,2,1,2,0,8,2713,0.29,veer kunwar singh university,7.5
95,https://careerplanb.co/neet-ug-exam-date-timeline-guide/,3.0,3.5,2,1,2,0,8,1899,0.42,"neet ug 2026 exam will be held on may 3, 2026, from 2 pm to 5 pm",4.1
96,https://careerplanb.co/iit-jodhpur-2025-cut-offs/,2.7,5.3,3,1,3,0,8,1817,0.44,iit jodhpur cutoff,5.8
97,https://careerplanb.co/madras-medical-college-pg-branches-bond-details-2025/,1.0,2.1,5,3,5,0,8,51,15.69,mmc pg seat matrix,2.0
98,https://careerplanb.co/gate-2026-life-sciences-syllabus-xl-complete-guide/,4.4,6.2,5,0,5,0,8,424,1.89,gate xl syllabus 2026,6.2
99,https://careerplanb.co/gate-2026-physics-syllabus-complete-weightage-guide/,2.9,4.4,6,1,6,0,8,666,1.20,gate physical science syllabus,4.3
100,https://careerplanb.co/jelet-syllabus-2025-subject-wise-exam-pattern/,4.3,7.6,6,0,5,1,8,301,2.66,jelet 2026 syllabus,6.5
101,https://careerplanb.co/vit-vellore-vs-mit-manipal-2025/,1.1,3.2,7,5,7,0,8,261,3.07,mit manipal vs vit vellore,6.4
102,https://careerplanb.co/top-engineering-colleges-india-besides-iits-nits/,1.0,4.2,8,5,8,0,8,112,7.14,banasthali vidyapith,3.0
103,https://careerplanb.co/nit-jaipur-last-round-cutoff-2025-a-complete-guide/,7.9,8.3,2,0,2,0,7,1385,0.51,nit jaipur cutoff,8.7
104,https://careerplanb.co/dnb-exit-exam-preparation-2026/,4.7,5.6,4,0,4,0,7,361,1.94,dnb exit exam 2026,4.8
105,https://careerplanb.co/galgotias-university-placements-2025-guide/,1.0,1.7,5,5,5,0,7,3667,0.19,galgotias university packages,1.0
106,https://careerplanb.co/iit-kharagpur-josaa-closing-ranks-2025-detailed-branch-analysis/,6.7,7.2,5,0,5,0,7,373,1.88,iit kgp cutoff,7.3
107,https://careerplanb.co/neet-pg-refund-rules-2025-guide/,1.0,2.5,4,3,4,0,7,109,6.42,neet refund amount 2025,1.0
108,https://careerplanb.co/engineering-entrance-exam-benifits-defense-quota-2026/,1.0,3.4,5,3,5,0,7,75,9.33,defence quota in engineering colleges,1.8
109,https://careerplanb.co/iift-vs-nmims-vs-iim-bodh-gaya-detailed-mba-comparison-2025/,1.4,2.5,6,5,6,0,7,991,0.71,indian institute of foreign trade,2.1
110,https://careerplanb.co/rajalakshmi-engineering-college-placement-analysis/,1.0,1.4,4,4,4,0,7,878,0.80,rajalakshmi engineering college fees structure,1.1
111,https://careerplanb.co/uptac-2026-engineering-admission-eligibility-dates-counselling/,1.0,1.1,6,6,6,0,7,845,0.83,up engineering entrance exam,1.2
112,https://careerplanb.co/viteee-2026-application-form-mistakes-guide/,1.0,3.9,5,3,5,0,7,327,2.14,vit correction window 2026,2.0
113,https://careerplanb.co/bsc-clinical-nutrition-dietetics-salary-india/,1.0,2.8,840,716,796,29,7,4038,0.17,bsc dietetics,1.2
114,https://careerplanb.co/how-much-to-score-in-cat-to-get-a-call-from-fms-in-2026/,1.0,3.5,7,4,7,0,7,606,1.16,fms call,5.8
115,https://careerplanb.co/jadavpur-university-vs-iiest-shibpur-2025/,1.1,3.1,7,6,7,0,7,132,5.30,2026 wbjee form fill up date,3.0
116,https://careerplanb.co/jee-main-marks-vs-percentile-vs-rank-complete-guide-for-2026-aspirants/,13.0,26.5,7,0,0,2,7,44,15.91,jee main 2026 marks vs percentile,22.2
117,https://careerplanb.co/mp-be-counselling-2026-dates-eligibility-admission-colleges/,1.0,3.3,7,5,6,1,7,337,2.08,engineering,11.0
118,https://careerplanb.co/best-career-counseling-platforms-india/,1.0,28.4,278,61,110,33,6,1445,0.42,best career counselling in india,3.1
119,https://careerplanb.co/lateral-entry-diploma-to-bsc/,1.3,1.5,4,4,4,0,6,78,7.69,bsc after diploma,1.3
120,https://careerplanb.co/management-quota-in-ggsipu/,1.0,2.9,4,3,4,0,6,2722,0.22,ip university delhi,1.0
121,https://careerplanb.co/bits-pilani-vs-iiit-hyderabad-nirf-2025-rankings-clash/,1.0,2.8,505,432,494,10,6,2981,0.20,iiit hyderabad vs bits pilani,3.9
122,https://careerplanb.co/cbse-class-12-commerce-syllabus-2025-26-accounts-bst/,5.8,7.7,5,0,4,1,6,305,1.97,business studies syllabus class 12 cbse 2025-26,8.2
123,https://careerplanb.co/gate-2026-syllabus-for-computer-science-and-engineering/,6.7,7.0,5,0,5,0,6,1260,0.48,gate cse syllabus 2026,6.9
124,https://careerplanb.co/amity-vs-galgotias-btech-2026-comparison/,1.0,3.4,386,279,377,8,6,5379,0.11,galgoti,2.0
125,https://careerplanb.co/career-options-after-bhms-complete-guide-2025/,1.0,1.1,6,6,6,0,6,32,18.75,bhms govt jobs in telangana,1.0
126,https://careerplanb.co/class-12-english-unseen-passages/,4.7,13.2,6,0,2,3,6,59,10.17,class 12 unseen passage english 2025 with answers,4.7
127,https://careerplanb.co/government-jobs-physiotherapy-india/,1.0,7.1,6,2,4,2,6,106,5.66,after bpt government jobs,1.0
128,https://careerplanb.co/iit-roorkee-placement-2025-stats/,8.0,10.9,6,0,3,2,6,83,7.23,iit roorkee cse placements,10.2
129,https://careerplanb.co/mmc-chennai-pg-courses-fees-bond/,2.4,6.9,6,1,5,0,6,72,8.33,bond for pg medical students in tamilnadu,10.2
130,https://careerplanb.co/sibm-scmhrd-imt-ghaziabad-roi-comparison/,2.5,4.7,6,1,6,0,6,229,2.62,scmhrd,2.5
131,https://careerplanb.co/careers/,6.2,6.2,1,0,1,0,5,389,1.29,career plan b,6.2
132,https://careerplanb.co/gujcet-2026-exam-timeline-application-eligibility-pattern-preparation/,9.6,9.6,1,0,1,0,5,9212,0.05,gujcet 2026 exam date,9.6
133,https://careerplanb.co/aiims-pg-courses-branches-career-2025/,1.0,3.4,89,70,84,2,5,494,1.01,pg courses in aiims,1.4
134,https://careerplanb.co/aji-institute-pg-fees-branches-hostel/,1.0,5.0,74,51,67,4,5,927,0.54,aj institute of medical sciences pg fees,4.5
135,https://careerplanb.co/engineering-entrance-exams-dates/,2.8,4.6,4,1,4,0,5,167,2.99,top engineering colleges entrance exam dates 2026,5.5
136,https://careerplanb.co/mica-placements-2025-complete-guide/,1.9,3.6,4,3,4,0,5,322,1.55,mica placement report,6.4
137,https://careerplanb.co/neet-pg-2025-special-stray-vacancy-guide/,7.3,8.5,4,0,3,0,5,200,2.50,will there be special stray vacancy round neet pg,7.5
138,https://careerplanb.co/ojee-2026-admission-process-eligibility-exam-dates-counselling/,1.0,1.0,4,4,4,0,5,4124,0.12,www.ojee.nic.in 2026,1.1
139,https://careerplanb.co/rajarajeswari-medical-college-pg-fees-branches/,1.7,2.8,4,2,4,0,5,64,7.81,rajarajeshwari medical college bangalore pg fees,1.7
140,https://careerplanb.co/sri-devaraj-urs-medical-college-kolar-pg-fees/,1.5,1.9,3,3,3,0,5,46,10.87,devaraj urs medical college pg fees,1.5
141,https://careerplanb.co/top-engineering-colleges-in-chennai-2025/,1.0,9.8,4,2,3,0,5,205,2.44,nirf ranking 2025 engineering colleges chennai,5.7
142,https://careerplanb.co/up-obc-scholarship-2025-26/,1.0,3.3,4,2,4,0,5,199,2.51,up scholarship percentage criteria for obc,1.9
143,https://careerplanb.co/college-admission-without-entrance-exam-2025/,2.0,2.9,5,4,5,0,5,16,31.25,cuet pg 2026 exam date psychology,4.0
144,https://careerplanb.co/gmc-bhopal-pg-courses-fees-bond/,1.0,2.5,5,3,5,0,5,107,4.67,gandhi medical college bhopal pg fees,1.4
145,https://careerplanb.co/iim-after-class-12-5-year-integrated-mba-programs-guide/,1.0,9.4,5,3,4,0,5,118,4.24,5 year integrated mba,38.7
146,https://careerplanb.co/is-vjti-better-than-iits/,1.0,1.0,5,5,5,0,5,954,0.52,is vjti a good college,1.1
147,https://careerplanb.co/jaypee-admission-without-jee/,1.0,2.1,5,3,5,0,5,344,1.45,admission process,3.3
148,https://careerplanb.co/kims-bhubaneswar-pg-fees-bond-hospital/,2.0,4.9,5,1,5,0,5,233,2.15,kalinga medical college pg fees,5.3
149,https://careerplanb.co/top-private-law-colleges-india-2025/,1.9,3.6,5,2,5,0,5,396,1.26,iirf law ranking 2025,6.0
150,https://careerplanb.co/vit-campus-comparison-2026/,2.0,3.0,5,4,5,0,5,35,14.29,strength of students,2.0
151,https://careerplanb.co/xlri-course-selection-bm-hrm-gmp-guide/,1.8,9.2,5,1,3,2,5,73,6.85,xlri bm course curriculum,7.6
152,https://careerplanb.co/ba-psychology-distance-education-2025/,1.0,4.4,7,3,6,1,4,133,3.01,ba psychology distance education,4.7
153,https://careerplanb.co/dnb-vs-md-ms-comparison-india/,1.2,2.1,2,2,2,0,4,106,3.77,dnb passing rate 2025,1.2
154,https://careerplanb.co/gate-2026-biomedical-engineering-syllabus-complete-guide/,3.6,3.8,2,0,2,0,4,103,3.88,gate biomedical engineering syllabus,3.6
155,https://careerplanb.co/gim-goa-interview-guide/,4.0,6.9,2,0,2,0,4,49,8.16,gim interview questions,4.0
156,https://careerplanb.co/kiit-vs-siksha-o-anusandhan-2025/,1.3,1.4,2,2,2,0,4,694,0.58,soa university,1.6
157,https://careerplanb.co/top-government-agriculture-universities-india-nirf-2025/,1.0,1.0,2,2,2,0,4,328,1.22,top 10 government agriculture university in india,1.0
158,https://careerplanb.co/diploma-in-nursing-course-in-india-eligibility-admission-fees-2025/,1.6,4.5,3,1,3,0,4,68,5.88,diploma nursing course fees,1.6
159,https://careerplanb.co/igmc-shimla-pg-courses-bond-2025/,1.8,15.4,3,1,2,0,4,49,8.16,igmc shimla pg bond,1.8
160,https://careerplanb.co/iit-indore-placements-2025/,3.4,7.2,3,0,2,0,4,193,2.07,iit indore placements 2025,7.9
161,https://careerplanb.co/iit-palakkad-cut-off-2025/,2.2,2.6,3,3,3,0,4,70,5.71,palakkad iit cutoff,2.9
162,https://careerplanb.co/kgmu-lucknow-neet-pg-seat-matrix-and-counselling-insights/,1.0,1.3,3,3,3,0,4,29,13.79,pg seats in kgmu lucknow,1.1
163,https://careerplanb.co/mock-test-marks-vs-jee-score/,1.2,1.5,3,3,3,0,4,39,10.26,mock test marks vs jee marks,1.2
164,https://careerplanb.co/neet-ss-2025-exam-pattern-syllabus-guide/,2.9,5.7,3,1,3,0,4,194,2.06,neet ss subjects,4.6
165,https://careerplanb.co/next-exam-registration-application-process-2025/,3.4,4.6,3,0,3,0,4,129,3.10,next exam form,3.6
166,https://careerplanb.co/nit-meghalaya-last-round-cut-offs-2025/,6.1,6.5,3,0,3,0,4,758,0.53,nit meghalaya cutoff,6.2
167,https://careerplanb.co/bsc-optometry-salary-india-2025/,1.0,7.3,320,144,261,45,4,4223,0.09,b optom salary in india,5.3
168,https://careerplanb.co/btech-agricultural-engineering-course-scope-salary/,1.0,5.3,240,177,209,19,4,1538,0.26,agricultural engineering job opportunities,5.7
169,https://careerplanb.co/btech-architecture-engineering-course-colleges-career-salary/,1.0,8.5,86,56,72,6,4,1392,0.29,architecture engineering course fees,2.8
170,https://careerplanb.co/career-in-sports-in-india/,1.0,8.8,140,83,112,15,4,716,0.56,career in sport,71.6
171,https://careerplanb.co/highest-paying-medical-specializations-india/,1.7,4.9,4,1,3,1,4,48,8.33,highest earning superspeciality branches in india,11.0
172,https://careerplanb.co/how-to-ace-map-questions-in-class-10-geography/,1.8,9.2,4,1,3,0,4,60,6.67,cbse class 10 geography map questions,27.0
173,https://careerplanb.co/how-to-choose-the-best-super-specialty-after-md-or-ms/,1.1,1.9,4,4,4,0,4,51,7.84,dm branches after md,1.8
174,https://careerplanb.co/iit-admission-process-guide/,1.0,2.5,4,2,4,0,4,583,0.69,iit admission process,1.8
175,https://careerplanb.co/iit-kharagpur-library-resources-guide/,9.1,10.2,4,0,2,1,4,290,1.38,central library iitkgp,12.0
176,https://careerplanb.co/integrated-bba-mba-top-programs/,1.0,4.0,4,2,4,0,4,111,3.60,bba and mba integrated course colleges,1.0
177,https://careerplanb.co/jelet-2025-exam-dates-registration-admit-card-results/,1.0,1.1,4,4,4,0,4,312,1.28,jelet 2026 form fill up,1.1
178,https://careerplanb.co/kmc-manipal-pg-fees-cutoff-2025/,5.0,7.3,4,0,4,0,4,39,10.26,kasturba medical college fees for pg,6.8
179,https://careerplanb.co/low-fee-btech-colleges-hyderabad-2025/,1.0,6.2,4,2,3,1,4,166,2.41,b.tech colleges in hyderabad,2.0
180,https://careerplanb.co/short-term-courses-after-12th-high-salary-india/,1.6,19.5,4,1,1,2,4,50,8.00,1 month courses after 12th,18.1
181,https://careerplanb.co/tapmi-placements-2025-average-salary-top-recruiters/,1.0,3.4,4,2,4,0,4,445,0.90,tapmi mba fees,1.0
182,https://careerplanb.co/confused-about-career-after-10th/,1.9,1.9,1,1,1,0,3,1537,0.20,i am confused about my career after 10th,1.9
183,https://careerplanb.co/cmc-vellore-pg-fees-bonds-2025/,3.9,6.1,2,0,2,0,3,113,2.65,cmc vellore pg fees,3.9
184,https://careerplanb.co/high-yield-subjects-for-quick-neet-mds-revision/,1.4,2.1,2,2,2,0,3,39,7.69,neet mds subject wise weightage,1.4
185,https://careerplanb.co/how-to-get-medical-fitness-certificate/,1.5,1.8,2,2,2,0,3,43,6.98,how to get medical fitness certificate from government hospital,1.5
186,https://careerplanb.co/hpcet-notification-exam-dates/,7.4,7.6,2,0,2,0,3,351,0.85,hp cet registration date,7.4
187,https://careerplanb.co/iiit-delhi-placements-2024-25-complete-report-guide/,8.5,9.2,2,0,2,0,3,107,2.80,iiit delhi mtech placement,9.9
188,https://careerplanb.co/iiit-delhi-scholarship-2025-complete-guide-for-students/,5.9,6.2,2,0,2,0,3,82,3.66,iiit delhi scholarship,6.6
189,https://careerplanb.co/iiit-hyderabad-vs-iiit-bangalore-nirf-2025/,1.8,1.8,2,2,2,0,3,264,1.14,iiit hyderabad vs iiit bangalore,1.8
